SurveyKey,ClientKey,SurveyMode
29597374,1,Paper
29597405,9,Paper
29597414,9,Paper
29597431,6,Paper
29597432,6,Paper
29597474,4,Paper
29597475,4,Paper
29597476,4,Paper
29597478,4,Paper
29597500,6,Paper
29598038,4,Paper
29598039,4,Paper
29598041,4,Paper
29598182,10,Paper
29598183,10,Paper
29598207,6,Paper
29598288,9,Paper
29598403,4,Paper
29598733,4,Paper
29598739,4,Paper
29598780,10,Paper
29598983,4,Paper
29599312,4,Paper
29599897,4,Paper
29599923,9,Paper
29599956,2,Paper
29599957,2,Paper
29600128,6,Paper
29600157,3,Paper
29600158,6,Paper
29600169,6,Paper
29600170,6,Paper
29600314,4,Paper
29600396,6,Paper
29600402,4,Paper
29600419,9,Paper
29600518,10,Paper
29600543,4,Paper
29600544,4,Paper
29600546,4,Paper
29600569,4,Paper
29601336,8,Paper
29601344,8,Paper
29601455,1,Paper
29601459,8,Paper
29601460,8,Paper
29601492,1,Paper
29601493,1,Paper
29601507,5,Paper
29601537,5,Paper
29601588,10,Paper
29601631,9,Paper
29601691,2,Paper
29601726,8,Paper
29601727,8,Paper
29601728,8,Paper
29601729,8,Paper
29601730,8,Paper
29601732,8,Paper
29601734,8,Paper
29601745,2,Paper
29601868,8,Paper
29602026,9,Paper
29602373,6,Paper
29602379,1,Paper
29602384,8,Paper
29602406,3,Paper
29602430,1,Paper
29602431,1,Paper
29602432,1,Paper
29602596,6,Paper
29602755,5,Paper
29602767,5,Paper
29602768,5,Paper
29602814,2,Paper
29604455,4,Paper
29604466,4,Paper
29604516,4,Paper
29604620,5,Paper
29604641,6,Paper
29604692,8,Paper
29604694,8,Paper
29604709,2,Paper
29605108,8,Paper
29605110,8,Paper
29605564,5,Paper
29605608,1,Paper
29605609,1,Paper
29605617,5,Paper
29605633,3,Paper
29605734,5,Paper
29605739,2,Paper
29605780,1,Paper
29605783,7,Paper
29605784,7,Paper
29605794,5,Paper
29605798,7,Paper
29605819,3,Paper
29605841,7,Paper
29605853,2,Paper
29605854,2,Paper
29605855,2,Paper
29605863,7,Paper
29605866,3,Paper
29606523,7,Paper
29606529,1,Paper
29606534,7,Paper
29606549,7,Paper
29606569,3,Paper
29606570,3,Paper
29606571,3,Paper
29607460,3,Paper
29607463,1,Paper
29607650,8,Paper
29607663,2,Paper
29607753,10,Paper
29607767,9,Paper
29607768,9,Paper
29607908,9,Paper
29607950,10,Paper
29607957,10,Paper
29608127,5,Paper
29608149,3,Paper
29608154,10,Paper
29608161,10,Paper
29608196,9,Paper
29608262,10,Paper
29608325,1,Paper
29608362,6,Paper
29608449,4,Paper
29608454,9,Paper
29608596,9,Paper
29608608,9,Paper
29608752,5,Paper
29608843,3,Paper
29609094,4,Paper
29609095,4,Paper
29609096,4,Paper
29609097,4,Paper
29609454,3,Paper
29609575,10,Paper
29609728,1,Paper
29609831,4,Paper
29609832,4,Paper
29609833,4,Paper
29610411,4,Paper
29610509,9,Paper
29610583,4,Paper
29610584,4,Paper
29610905,8,Paper
29611021,9,Paper
29611105,4,Paper
29611106,4,Paper
29611185,7,Paper
29611283,7,Paper
29611299,6,Paper
29611300,3,Paper
29611305,6,Paper
29611306,6,Paper
29611307,6,Paper
29611351,5,Paper
29611352,6,Paper
29611375,3,Paper
29611609,5,Paper
29611845,1,Paper
29611862,6,Paper
29611891,9,Paper
29612034,6,Paper
29612114,10,Paper
29612147,8,Paper
29612427,10,Paper
29612460,8,Paper
29612559,10,Paper
29612584,8,Paper
29613169,10,Paper
29613190,8,Paper
29613212,8,Paper
29613350,6,Paper
29613351,6,Paper
29613384,10,Paper
29613385,10,Paper
29613697,10,Paper
29614553,5,Paper
29614702,7,Paper
29614706,3,Paper
29614717,7,Paper
29614718,7,Paper
29614723,6,Paper
29614729,7,Paper
29614730,3,Paper
29614731,3,Paper
29614732,3,Paper
29614822,10,Paper
29614832,10,Paper
29615083,10,Paper
29615192,1,Paper
29615208,3,Paper
29615229,3,Paper
29615237,7,Paper
29615240,2,Paper
29615245,3,Paper
